id;title;price;rooms;bathrooms;size;parking_space;type;number;neighborhood_name;population;houses;area;street_name;zip_code;flood_quota;latitude;longitude;modality_name;company_name
9574;Apartamento à Venda em Blumenau no bairro Centro;332019.0;1;1;34.54;1;apartamento;148;Centro;5004;1622;2.0;Rua Namy Deeke;89010-130;13.95;-26.917538;-49.0677202;venda;portal_imoveis
9575;Casa à Venda em Blumenau no bairro Itoupava Central;2250000.0;4;4;300.0;2;casa;9669;Itoupava Central;28164;8715;45.0;Rua Doutor Pedro Zimmermann;89095-000;;-26.7674501;-49.0800116;venda;portal_imoveis
9576;Lote/Terreno à Venda em Blumenau no bairro Fortaleza;350000.0;0;0;527.0;0;loteterreno;;Fortaleza;13196;4212;5.0;Rua Vereador Agnelo Paulo Lanser;89056-455;;-26.8700633;-49.0727878;venda;portal_imoveis
9577;Casa à Venda em Blumenau no bairro Itoupava Central;1800000.0;3;4;544.0;2;casa;801;Itoupava Central;28164;8715;45.0;Rua Carlos Roesel;89069-250;;-26.7897377;-49.093272;venda;portal_imoveis
9578;Lote/Terreno à Venda em Blumenau no bairro Fortaleza;194500.0;0;0;336.0;0;loteterreno;500;Fortaleza;13196;4212;5.0;Rua Vereador Agnelo Paulo Lanser;89056-455;;-26.8700633;-49.0727878;venda;portal_imoveis
9579;Sobrado à Venda em Blumenau no bairro Salto do Norte;640000.0;3;4;180.0;2;sobrado;188;Salto Do Norte;8441;2779;7.0;Rua Hermann Knasel;89065-235;;-26.8730188;-49.0919003;venda;portal_imoveis
9580;Sobrado à Venda em Blumenau no bairro Passo Manso;480000.0;2;3;120.0;2;sobrado;20;Passo Manso;6799;2069;7.0;Rua Adele Jansen;89032-301;;-26.91153;-49.1469178;venda;portal_imoveis
9581;Casa à Venda em Blumenau no bairro Itoupava Central;700000.0;3;2;152.0;3;casa;449;Itoupava Central;28164;8715;45.0;Rua Ricardo Belz;89069-140;;-26.7922569;-49.1014905;venda;portal_imoveis
9582;Lote/Terreno à Venda em Blumenau no bairro Garcia;120000.0;0;0;922.2;0;loteterreno;;Garcia;15911;5336;5.0;Rua Christiano Theiss;89020-410;10.8;-26.9293031;-49.0561492;venda;portal_imoveis
9583;Apartamento à Venda em Blumenau no bairro Garcia;431000.0;2;2;81.5;1;apartamento;123;Garcia;15911;5336;5.0;Rua Lydia Zwicker;89021-190;17.15;-26.9438557;-49.0669679;venda;portal_imoveis
9584;Apartamento à Venda em Blumenau no bairro Velha;406000.0;2;2;97.0;1;apartamento;128;Agua Verde;16186;5526;5.0;Rua Doutor Antonio Haffner;89036-640;;-26.9142369;-49.0998745;venda;portal_imoveis
9586;Apartamento à Venda em Blumenau no bairro Vila Nova;608100.0;3;3;115.1;2;apartamento;96;Vila Nova;9962;3884;2.0;Rua Afonso Pena;89035-280;;-26.9043414;-49.0878844;venda;portal_imoveis
9588;Lote/Terreno à Venda em Blumenau no bairro Ponta Aguda;4200000.0;0;0;30000.0;0;loteterreno;;Agua Verde;16186;5526;5.0;Rua Novo Hamburgo;89037-140;;-26.9119375;-49.0949695;venda;portal_imoveis
9590;Apartamento à Venda em Blumenau no bairro Vila Nova;1317100.0;3;3;115.1;2;apartamento;96;Vila Nova;9962;3884;2.0;Rua Afonso Pena;89035-280;;-26.9043414;-49.0878844;venda;portal_imoveis
9591;Casa à Venda em Blumenau no bairro Itoupava Central;700000.0;3;3;331.04;4;casa;490;Itoupava Central;28164;8715;45.0;Rua Frederico Voelz;89068-210;16.4;-26.8136448;-49.0921571;venda;portal_imoveis
9592;Apartamento à Venda em Blumenau no bairro Itoupava Seca;500000.0;2;2;102.0;1;apartamento;365;Itoupava Seca;4464;1616;3.0;Rua Teresopolis;89030-110;14.75;-26.904098;-49.0807824;venda;portal_imoveis
9593;Apartamento à Venda em Blumenau no bairro Água Verde;455000.0;3;2;133.34;1;apartamento;1300;Agua Verde;16186;5526;5.0;Rua Frei Estanislau Schaette;89037-256;19.25;-26.9123839;-49.1120379;venda;portal_imoveis
9594;Casa à Venda em Blumenau no bairro Testo Salto;350000.0;2;2;160.0;1;casa;2975;Testo Salto;7065;2135;15.0;Rua Werner Duwe;89074-178;13.55;-26.8504419;-49.1519382;venda;portal_imoveis
9606;Lote/Terreno à Venda em Blumenau no bairro Ribeirão Fresco;215000.0;0;0;399.0;0;loteterreno;;Ribeirao Fresco;1587;513;1.0;Rua Alwin Schrader;89015-125;13.3;-26.9255483;-49.0511884;venda;portal_imoveis
